"","주요증상","주소","질문제목","질문내용","답변내용"
"392","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000378277","피임약먹은지 2개월정도되는데 생리날짜 5일전쯤부터 부정출열이 조금씩있어요 괜찮은건가요?","피임약먹은지 2개월정도되는데 생리날짜 5일전쯤부터 부정출열이 조금씩있어요 괜찮은건가요?","안녕하세요, 하이닥 산부인과 상담의 한지운 입니다.  두번째 달까지는 약간의 부정출혈이 있을 수 있습니다.  피임약 복용은 평소처럼 하시고 생리 이후 다시 새 팩을 복용하시면서 출혈 여부를 보시기 바랍니다.  지속시에는 자궁내막 병변 여부를 확인하기 위해 진료를 보시는 것이 좋겠습니다. "
"396","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000437625","아기열상담","안녕하세요 선생님 저희아기가19개월인데 독감예방접종을맞고 첨으로 열이 올랐습니다 목감기가왔다고하더라구요 열이 38.5도를 주로 왔다갔다하였고 최고39도로 해열제를먹으며 오르고내리기를3일을 반복했습니다 그런데 40도가까이되면 또는 38.5정도를3일정도 쭉 가다보면 아기뇌에 정말 아무런 문제가안될까요? 어떤의사분은40도가넘으면 발달장애도 온다고했던거같아서요 열은내렸지만걱정이되어서요 꼭 답변부탁드립니다","안녕하세요, 하이닥 응급의학과 상담의 한재병 입니다. 문제가 될 수도 있지만, 말씀해 주신 상황만 가지고 정확히 판단할 수는 없습니다.  많이 걱정되신다면, 다니시던 소아과 가셔서 다시 한번 상담 받으시기를 권유드립니다. 답변이 도움이 되셨으면 좋겠습니다.  감사합니다. "
"409","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000078027","자꾸만 자도 피곤하고 미열이 계속나요","요즘 열이 좀 많이 나고 머리도 너무 심하게 아파요 
자꾸만 몸이 피곤하고 잠을 자도 피곤함은 계속 있는것같아요 
눈커풀이 무겁고 자꾸만 피곤한증상은 무슨증상일까요?
기침도 하면 머리있는쪽이 너무 당기면서 너무 아프고 속도 많이 좋지는 않아요?
제가 열을 체크할때마다 거이 38.5아니면 미열에 있는데 혹시 왜그럴까요?
갑상선기능저하증약부터 여러가지 약을 먹고 있거든요 
<!/DCM_BODY>","안녕하세요.  하이닥가정의학과 상담의 고완규입니다. 우선은 정밀검진이 우선입니다갑상선 기능저하 때도 물론 그럴수 있지만사실 인터넷상 모든것을 알긴 어렵습니다사실 모든 병의 첫 증상이 두통, 복통 몸의 이상소견,,,소화불량, 피로, 구토 어지러움, 요통 등 비특이적입니다. 증상은 질환은 그래서 대변할 수 없음을 우선 말씀 드리고, 그래서 의료의 프로세스를 우선 설명 드리려 합니다.  고열, 몸살, 두통, 요통 어지러움 증은 우리 몸에 세균이나 바이러스가 침범하면 나타나는 ""공통적인 전신증상""입니다. 즉, 백혈구와 면역세포들이 세균 등을 없애기 위해 생화학 물질을 분비하게 되고 세균이나 바이러스가 파괴되면서 그 안의 독성물질이 분비되는데 이들에 의해 고열과 몸살이 유발되며 혈관이완에 의해 두통, 요통, 가슴통증, 어지러움증이 발생합니다. 따라서 이들 증상이 나타나면 의사는 모든 가능성을 열어놓고 ""특이소견""을 찾게 됩니다. 편도선염이 있는지, 중이염이 있는지, 폐렴이 있는지, 담낭염이 있는지(우상복부통증), 설사가 있는지, 급성 맹장염이 있는지, 요로감염이 있는지, 신장염이 있는지, 심근경색이 있는지, 늑막염이 있는지, 뇌수막염 증상이 있는지 여부를 체크합니다. 최근에는 젊은 분들 사이에서 감기배탈 같은 바이러스성 장염이 돌기도 하므로 이 증상 역시 비슷할 수 있습니다.  어쨌든. . . 특이소견이 있으면 그에 합당한 치료를 하게 됩니다.  그러나 특이증상이 없는 경우가 종종 있습니다. 그런 경우에는 열 감기(감기 중에서 단순히 열, 몸살만 있는 경우가 있습니다.  마이코플라즈마, 클라미디아, 독감 등)와 장염(음식을 익힌 경우 장염세균이 파괴되고 독성물질이 분비되어 설사는 나타나지 않고 몸살, 어지러움 증, 두통만 있는 장염이 가능합니다)에 맞추어 치료를 일단 시작하면서 경과관찰을 해나가는 방법을 취하게 됩니다. 가을철에는 쯔쯔가무시와 렙토스파 증을 의심해야 하며 여름철에는 어패류 섭취여부나 바닷가로 휴가를 갔는지(어패류 섭취를 안 해도 상처 난 피부를 통해 감염이 가능)를 문진하여 비브리오 패혈증을 의심해야 합니다. 복부 장기(간, 쓸개, 췌장, 신장, 방광 등)의 어느 부위에 염증이나 종양이 생겨도 소화불량이 나타날 수 있습니다. 장간막(장 사이에 천같이 생긴 것)이라는 복부의 면역기관이 있어 복부 장기의 염증이 생기면 복부 전체로 염증이 퍼지지 않도록 막기 위해 염증이 있는 주위의 장 운동을 떨어뜨립니다. 그러면 위에서 소화된 음식의 배출이 지연되어 결론적으로 소화가 안되고 미식거리는 증상을 유발합니다. 그래서 소화불량은 비 특이적 증상입니다. 즉, 위염과 위암의 증상은 기본적으로 같다고 생각하셔야 합니다그러나 미리 위암일까 걱정하는 것도 오버일수 있습니다췌장암이 있을 때도 등이 아플 수 있고 그냥 근육통시에도 등이 아픕니다. 두통이 심해서 오신 환자분이 뇌에 종양 등 이상이 있는 것 아니냐 생각하시는 것은 당연합니다. 그러나, 위에서 기술한 것과 같이 두통은 ""공통적인 전신증상""으로 방광염 때문에도 생길 수 있습니다. 의사의 진찰 소견을 믿고 따르시면 나중에 다른 큰 질환이라도 빨리 진단 될 수 있습니다. 처음부터 다른 큰 병을 생각하실 필요는 없습니다. 간에 문제가 있을 수도 있고, 갑상선 기능에 문제 가 있을수도 있고체질상 문제일수도 있고 숨겨진 암이 있을수도 있고매우 수많은 원인질환이 있습니다. 물론 급격한 스트레스도 영향을 줄수 있습니다그러나 정밀검진이 항상 우선이고항상 건강하세요. 문의에 도움이 되었기를 바랍니다.  감사합니다. "
"410","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000444275","제왕절개수술후 염증이나서 염증제거수술도했습니다.","지난 11월22일 제왕수술로 출산후 퇴원했는데조리원있는동안 수술부위에 염증이나고 윗부분이 붓고 열이나고 오한들고해서 병원방문했으나 혈관이터져서그렇다며 자연흡수될거라했지만 통증이 심해지고 열이 39도넘는등 여러증상이있어서 수술하게되었습니다.수술후 피주머니를 하게되었고 그저께 제거후 어제 퇴원했습니다ㅡ근데 오늘 피주머니제거부위를 보니 피부가 까져서 떨어져나가고(?) 그부분에 진물같은게나오고 피가 맺혀있어요병원가니 별일아니라며 메디폼붙이라하셨구요진물나올수있다하셨어요..근데 너무걱정되서 올립니다..염증으로 너무고생해서 또 염증생기는건 아닌지..아기를 봐줄사람이없어 제가봐여해서...너무걱정입니다.사진은 수술부위는 다시 꼬매논상태이고 아직 실밥제거전이에요.피주머니뺀부분을 저상태로 둬도되는지...사진찍을때보니 또 흘러있네요ㅠㅠ","안녕하세요, 하이닥 내과 상담의 이방훈 입니다. 진물이 나오는 것은 약한 피부의 손상을 통해서 생겨난 것으로 추정됩니다. 즉, 이전에 염증이 생겨서 재수술한 것과는 다른 문제일 것으로 생각되구요. 메디폼 같은 것을 붙여도 되고 깨끗한 거즈를 붙여놔도 될 것 같습니다.   다만 피부가 약해진 상태라 접착력이 강한 것을 사용하게 되면 접착부위에서 이와 유사한 반응이 생길 가능성이 있으므로 주의가 필요합니다. 사진으로만 봐서는 깨끗한 거즈를 올려두고 부드러운 종이 반창고 같은 것으로 살짝 고정해주는 정도가 좋지 않을까 생각됩니다.   제왕절개후 뜻하지 않게 재수술을 하게 됐지만 현재 열이 없고 통증이 즐어들고 있는 상태라면 점차 회복될 것으로 예상됩니다.   너무 걱정 안해도 될 것 같습니다.  감사합니다. "
"414","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000391985","5세 남아 인데 콧물이조금 있고 38도 정도 열이나는데 거의 30분마다 소변을 봅니다 ","5세 남아 인데 콧물이조금 있고 38도 정도 열이나는데 거의 30분마다 소변을 봅니다 양은 보통정도 싸는것같은데 괜찮을까요? 왼쪽 종아리에 반점이 조금 있습니다","안녕하세요, 하이닥 소아청소년과 상담의 김도현 입니다. 다른 증상을 동반하지 않은  하루 이틀의 발열은  일단 지켜보는것이 원칙입니다.  대부분 바이러스성 감염일 가능성이 높습니다. 소변을 자주본다면 간혹 방광염과 같은 비뇨기계 감염일 수는 있으니 증상이 지속될시 병원 내원하여 소변검사가 필요합니다.  다만 수분공급이 많아 자주 보는것이라면 잘 대처하고 있으신 것으로 생각됩니다.  발열로 힘들어 할시 해열제를 4시간 간격으로 타이레놀 계통과 부루펜계통을 번갈아 복용하게 하시고,  심한 고열시 미지근한 물수건으로 몸을 닦아주세요. 반점이 퍼지는지, 발열이 얼마나 더 지속되는지 주의깊은 관찰이 필요하며, 일반적으로 반점이 전신으로 퍼지거나 발열이 3일이상 지속될시 꼭 진료를 보시기 바랍니다. "
"415","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000226667","몸이 무겁고 피곤하고 목이 마니 마르며, 잘때 발에 열이나고 다리가 쑤시는거 같아서 잠을 설칩니다.","나이는33살이고 168에 61키로입니다...요즘 다이어트 한다고 운동을 하고 잇는데요...생리가 다가와선지 몸이 무겁고 피곤하고 목이 마니 마릅니다...잘때 발에 열이나고 다리가 쑤시는거 같아서 잠을 설칩니다...","안녕하세요, 하이닥 한방과상담의 최동기 입니다. 다이어트를 시작하셨군요. 다이어트를 시작하면서 운동을 하게되면 그동안 쓰지 않았던 근육이 피로하게 되고, 적응하는데까지 약 6주 정도의 시간이 필요합니다.  운동을 하면 몸도 상쾌해지고 다이어트도 잘 될 것 같은데, 대부분 근육량이 부족하기 때문에 초반 1~2개월은 오히려 피로가 쌓일 수 있습니다. 피로가 쌓이므로 목이 타고 갈증이 나기도 하며, 생리와 겹쳐지면 호르몬의 변화로 인해 더욱 더 증상이 악화됩니다.  운동 강도를 조절하면서 몇주 차근차근 하다보면 점차 나아질 것으로 보입니다. 만약 증상이 낫지 않는다면, 다이어트를 전문으로 하는 한의원에 가셔서 상담을 하는 것도 도움이 됩니다. 질문에 답변이 되었기를 바랍니다. 감사합니다. "
"417","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000474822","아이가 열,복통으로 약처방받아서 먹고있는데 증상이 나아지지 않아요.","10살 아이 이틀전 오후부터 열이 나기시작해서 어제 아침 병원가서 진찰받으니 목이 좀 부었다고 해열제 항생제 처방해서 먹였는데 시간 지나면서 배가 계속 아프다하고 화장실가서 변을 보라고 하면 설사 약간 나오고 말아요. 복통은 아팠다 안아팠다 그러고 아플때 화장실가서 힘주면 배만 더 아프고 변은 잘 안나온다고 합니다. 그래서 오늘 오전 다시 병원가니 장염도 같이 온것같다고 장염약을 같이 처방해주었고 지금까지 2번 약을 먹었는데 여전히 계속 배가 아프고 증상이 호전되지 않아요.열도 올랐다 내려갔다 하구요.장염약은 포리부틴드라이시럽 삼아돔페리돈과립 비오플250산 이구요.열감기약은 오구멘틴듀오시럽 엑티피드정 뮤코졸정 듀오나제정 비스칸엔산 입니다.받은약이 잘 처방이 된건가요? 계속 아파하니 걱정돼죽겠네요. 다른병원으로 가야되나 걱정입니다.","안녕하세요.  하이닥 상담약사 김봉현입니다. 정확한 진단과정과 증상은 모르지만 일반적으로 쓰이는 약은 맞습니다.  장염 : 위장운동조절과 정장제열감기약 : 감염과 염증에 의한 열감기로 보셨는지 항생제 염증약 유산균정장제 입니다. 해열제를 안주신 이유가 있지 않다면 추가로아세트아미노펜 성분의 해열제 (챔프 핑크)부루펜 계열의 해열제 를 교차복용 해주시면 열은 내려갈 거 같습니다. "
"425","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000065969","신생아 열","안녕하세요 신생아 열로 문의드립니다태어난지 50일 되는날 새벽에 열이 38.2도 올라동네 병원에서 간이피검사 한결과백혈구 수치 22000crp 1이하가 바이러스 1이상이 세균감염이라던데 울애기 1이 나와서대학병원에 입원했습니다대학병원서 검사 결과 염증수치가 1.8나왔습니다나머지는 괜찮다고 하고 균배양검사는 5일정도 걸린다고 하구요입원 다음날부터 열은 내리고 삼일동안 아무런 치료 없이 수액만 맞았구요애기 상태 괜찮다고 퇴원하래서균배양검사 결과도 아직 안나오고그냥 퇴원했습니다..궁금한거는..인터넷 찾아보니 저희 애기보다 수치가 낮은 아가들도항생제 치료하면서 균배양결과 나올때까지 기다리던데이대로 그냥 퇴원한게 잘한건지,,만약 패혈증이라고 나오면 치료가 늦어진건데 늦게 치료해도 괜찮은건지그리고 동네 병원서는 세균감염이라고 나왔는데세균감염이 아닐수도있는건지염증수치는 그냥 아무런 치료 안해도 저절로 떨어지는건지궁금하고 답답합니다*큰언니가 어린이집에서 감기에 걸려와서 한달동안 감기를 달고살고최근에는 열감기까지 걸렸습니다..그래서 온가족이 감기에 옮았고..저또한 감기에 걸려중이염까지 온상태였구요..그럼 울애기는 단순 감기였을수도 있는건가요?근데 동네 병원서는 왜 세균이라고 햇을까요","안녕하세요.  하이닥 소아청소년과 상담의 강영록입니다. 혈액 검사 중 백혈구 수치가 22,000이면세균 감염일 가능성이 많습니다.  진료를 하는 의사는 진찰 소견과 검사 결과를 가지고 판단하여 치료하므로 그 상태를 보지 않은 다른 사람이 알 수 없는 것이 있습니다. 그래도 아가가 50일 밖에 되지 않고 상태가 심하기 때문에 혈액 검사를 하고 입원을 하라고 하게 되었을 것입니다. 치료를 하면서 모든 사람이 동일한 경과를 취하는 것은 아니며수액 공급만 하였는데 증상이 호전되므로 치료하는 선생님이 배양 검사를 확인하지 않아도 괜찮겠다고 판단한 것으로 보입니다. 감사합니다. "
"426","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000414435","숨이자꾸 차고 열이 오르면  혈관이 확장되어그런지 가슴이 뛰고  손이 떨리고 쇼크가올거같은 위기감이 느껴집니다","165에 56킳이고 37세입니다.최근 혈압이 낮아그런지 숨이자꾸 차고 열이 오르면  혈관이 확장되어그런지 가슴이 뛰고  손이 떨리고 쇼크가올거같은 위기감이 느껴집니다. 2주전 면역저하로 입원을 했는데 60에 40으오 혈납이 낮더라고요..어떻게해야하나요 또 어떨땐 혈압이 정상이에요","안녕하세요, 하이닥 가정의학과 상담의 이상욱 입니다. 키에대한 몸무게가 정상이신상태에서 저혈압과 관련된 증상을 가지고 계시다면이의 원인 감별이 필요하다고 생각됩니다.  가까운 심장내과 등에 내원하여 이와관련된 검사를 통해 원인 감별을 해 보시기 바랍니다.  감사합니다. "
"445","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000234740","요로감염문의요","22개월 남자아이입니다감기기운도 없었는데 기침 아주 조금했습니다열이나서 병원가니 편도염이여서 약5일치중 3일치먹고 구토설사를함다시 병원가니 장염이라고 약3일처방을함하루먹고 열이랑 구토 설사없어서 중단하고  3일정도 그냥 생활하는데 3일후 소변에서 오징어나 쥐포같은 악취냄새가납니다열은 없구요  혹시 방광염이나 요로감염검사를 해봐야는가요?  아니면  물많이먹이고 몇일두고보고 열이나면 병원을 가야는가요??","안녕하세요, 하이닥 소아청소년과 상담의 강영록 입니다. 감기 증상이 있고 편도선이 부어 있으면 편도선염에 대한 치료를 하게 되고 위장 증상이 있으면 장염 치료를 하나 열이 나는 원인 중에 요로 감염이 숨어 있는 경우가 많습니다. 소변 검사를 해보는 것이 필요합니다. 그리고 열이 나면 수분 소모량이 많아 더 많이 수분 공급을 해야하는데탈수가 되어서 소변 양이 적으면서 악취가 나는 경우도 있으니 물은 많이 먹이는 것이 좋겠습니다. 질문에 답변이 되었기를 바랍니다. 감사합니다. "
"448","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000471040","5살아이 구토와 열","어제 오전에 열이 나기시작하더니 몇시간후에 토를 시작 하더라구요. 두시간동안 토를 몇번했어요. 그래서 병원을 다녀왔는데 위장바이러스 얘기를 하시면서 뇌수막염도 말씀하시더라구요. 다음날 오전까지도 토를 하면 응급실가서 링겔맞으라고만 하셨는데 토는 안하고 열만나는데 안가봐도 되는거겠죠?.. 해열제 먹이면 좀 내려가지만  좀 지나면 다시 열이 올라요. 어제는 머리가 좀 아프다했는데 지금은 괜찮데요. 그냥 열만있는데 뇌수막염 가능성이 높은가요? 응급실안가봐도 되는지여. 열은 38.5 정도 오르고 해열제 먹으면 좀 내려가는 그런 증상만 보이고있어요 목마르다고 물 계속먹고 덥다고 계속하네요. 도와주세요ㅠ","안녕하세요.  하이닥 응급의학과 상담의 한재병입니다. "
"450","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000125159","발등뼈 골절 후 열이나요","어머니께서 발등뼈가 골절되시고 거의 3주째 붓기가 가라앉지 않아서 걱정하고 있는데 갑자기 부러진 발 쪽이 열이 나는거 같다고 하셔서요 왜 그런거죠?? 얼음찜질하면 좀 괜찮을까요?","안녕하세요, 하이닥 정형외과 상담의 진성엽 입니다. 우선은 골절 후 3주째 갑자기 열감이 있거나 붓기가 심해지는 것은 골절과 함께 봉와직염 등의 감염 상태가 동반되었는지를 확인 하는 것이 필요합니다. 골절이 되어 있으시니 고정을 하셨을것이라고 생각되고 하지거상 및 얼음찜질등이 필요해보입니다. 중요한것은 가까운 정형외과 병원에서 정확한 진단을 받아보는 것이 좋겠다는 생각이 듭니다. 단순한 열감일 경우 큰 걱정은 안하셔도 됩니다. 감사합니다. "
"460","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000060881","가슴과 배에서 화끈거림(열이남)","안녕하세요.저희 어머니 건강이 안 좋아 지셔서 글을 올립니다.연세는 70세입니다.증상은 처음에는 낮에는 괜찮고밤에 주무시다가 아랫배 쪽에서 열이 난다고 합니다.어머니 표현으로는 고추장 먹으면 배에서 화끈거리는 것처럼 그런 느낌이라고 합니다.그런 증상이 있는 후에는 시간이 지나면서 아랫배뿐만 아니라 항문까지 그런 증상이 생긴다고 합니다.그런데 요즘은 그런 증상이 가슴으로 올라와서 가슴에서 열이 난다고 합니다.대개 주무시다가 새벽 12시 ~ 3시 사이에 통증이 발생하면 일어나시다가 통증이 완화되면 다시 주무십시다.병원에서 처방해준 약(신경안정제)을 먹어도 차도가 없습니다.이런 증상이 발생한지 약 3개월 정도 됩니다.도대체 병명은 무엇이고 어떻게 치료를 해야하는지 알려주시기 바랍니다.부디 도와주시기 바랍니다.","안녕하세요.  하이닥 가정의학과 상담의 고완규 입니다.  어머님이 연세가 있고 약해진 상태에서 자율신경계 변화를 느끼시고
계신것 같습니다.  즉 이유없는 열감등이 그 증상입니다. 

허리 척추쪽이 좋지 않아 보입니다.  전에 진찰한 병원에 가셔서 적절한
진료를 받으십시요.  퇴행성변화로 인해 척추사이의 관절이부으면서 밤에 누워 있을때 통증/열감을 느낄수 있습니다.  낮에는 덜하게 느낄수 있습니다.  그리고 그 위치가 요추나 천추 부위 일경우 아랫배나 항문쪽으로 증상을 느낄수 있습니다. 

혹시 걱정이 많이 되시면 대장쪽/ 자궁쪽을 함께 진찰받아보세요.  척추문제가 해결되었는데도 증상이 줄어들지 않으면 가보는것이 원래 순서이긴 하지만. . 

앉아서 김장하거나 나물다듬거나 쇼파에서 TV를 보는 것을 줄이는 것이 좋으며 설겆이 등도 허리에 영향을 많이 줍니다. 

도움이 되기를 바라면서 감사합니다. "
"472","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000084139","발이 차고 얼굴에 열에 몰리는경우 한시간 걷기가 도움이 될까요","질문이 좀 추상적이긴한데 양방쪽보단 한의사선생님께 여쭤봐야될것같아 문의를드립니다.제가 손보다도 발이 매우 찬편인데요.젊어서 그런지 큰 불편함이나 통증보다도 발이 새하얗게 되고 차다고 많이느끼는정도입니다.그리고 발이찬것도 문제지만 얼굴에 열이 잘 올라오는것이 문제인것같습니다.이 증상이 앉아있는경우에 잘 나타나는데 누워있으면 또 많이좋아집니다.제가 신분이 공부를 하는입장이라 일상생활에서 움직임이 부족하여 마른편인데도 불구하고 혈액순환이 원할하지않은것 같아 하루에 한시간씩 걷기를 하려고 하는데요.보통 선생님들께서 말씀하시길 하루 30분을 걸어라 라고 하시잖아요..?그런데 이 30분걷기가 30분동안 연달아서 걷는걸 말씀하시는거죠?예를들어 버스정류장 가는데 15분이 걸린다면 아침에 버스타러갈때 15분버스내려서 집에올때 15분 이것도 30분운동에 해당되는것인가요?제가 왜 이걸 여쭤보냐면요..제가 낮에는 공부를 하고 저녁쯤에 1시간정도 걷기를 하려는데 걷고나서는 발에 혈액이 돌아서 붉어지고 따뜻해지지만 아침이 되니 다시 발이 차집니다.해서 이 1시간걷기를 나눠서 해야되는것인지 혼란스럽네요.그냥 밤에만 1시간걷기 꾸준히해주면 발에 도움이 될런지요..?","안녕하세요.  하이닥 한방과 상담의 최승영 입니다. 체질에 크게 열체질과 냉체질이 있습니다. 열체질은 전신에 열감을 많이 느끼고 추위를 타지 않는 경우이고,냉체질은 평소 아랫배나 손발이 차고 추위를 타는 경향이면서, 피곤하거나 신체 컨디션이 떨어질수록 얼굴, 머리, 손(발) 등 주로 상체쪽으로 열감(허열)을 느끼게 되는 경우입니다. 님께서는 후자에 속해 보입니다. 발은 심장에서 멀리 떨어져 있으므로 혈행이 좋지 못할 때 가장 차게 느껴질 수 있습니다. 누워있으면 높이상 상체와 하체의 혈행에 장애가 줄어들므로 한열의 차가 줄어들게 되는 것입니다. 30분이란 하루 합산량이 아닌 한번에 시행하는 운동량이라 할 수 있으며, 빠르게 걸어 살짝 숨이 차고 땀이 날 정도가 효과적입니다. 다만 체력이 약한 사람이 운동량이 과할 경우 오히려 피로가 누적될 수 있으며, 본인의 몸상태에 맞게 원기를 보하여 혈행을 원활히 하는 한약 처방을 병행하면 매우 효과적입니다. "
"475","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000334505","겨드랑이 부위에 가려움 증상과 겨드랑이를 만져보면 열이 ...","겨드랑이 부위에 가려움 증상과 겨드랑이를 만져보면 열이 나는 증상이 4일째 이뤄지고있습니다. 혹시 이게 무슨 피부병이며 치료방법을 알수있을까요??? 그리고 혹시 겨드랑이 부위에 차가운 물건이나 얼음으로 식혀줘도되나요????","안녕하세요, 하이닥 응급의학과 상담의 한재병 입니다. 피부 관련한 부분은 부위를 명확히 보는 게 아닌 이상 서면으로 답하기가 힘듭니다. 가까운 피부과에 가셔서 정확히 확인하시기를 추천드립니다. 감사합니다. "
"479","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000344577","머리가 어지럽고 무거워요","안녕하세요 삼일전부터 식욕감퇴 머리압박 어지러움열 새벽에는 두통이 옵니다 또 말을 하거나 움직이면 더 어지럽구요 오늘은 일요일이라 응급실가서 진료를 받았는데 열이높고 감기같다고 주사랑 약을주네요 큰병일까봐 무섭고 불안한마음에 질문올려봅니다 어떤거같나요??","안녕하세요, 하이닥 신경과 상담의 이윤주 입니다. 보내신 글 잘 읽었습니다.  열이 많이 나도 두통과 어지럼증이 올 수 있고, 뇌수막염과 같이 머리에 염증이 생겨도 두통과 열이 동반될 수 있습니다.  열이 나는 원인을 파악하시는 것이 중요하기 때문에 병원 내원이 필요한 상황으로 판단됩니다.  단순 감기 가능성도 있고 이 경우에는 투약 후 점차 호전되실 겁니다.  이후에도  두통과 어지럼증이 지속될 경우 신경과 진료가 도움이 되겠습니다.  감사합니다. "
"480","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000344552","머리가 어지럽고 무거워요","안녕하세요 삼일전부터 식욕감퇴 머리압박 어지러움열 새벽에는 두통이 옵니다 또 말을 하거나 움직이면 더 어지럽구요 오늘은 일요일이라 응급실가서 진료를 받았는데 열이높고 감기같다고 주사랑 약을주네요 큰병일까봐 무섭고 불안한마음에 질문올려봅니다 어떤거같나요??","안녕하세요, 하이닥 신경과 상담의 이윤주 입니다. 보내신 글 잘 읽었습니다.  열이 많이 나도 두통과 어지럼증이 올 수 있고, 뇌수막염과 같이 머리에 염증이 생겨도 두통과 열이 동반될 수 있습니다.  열이 나는 원인을 파악하시는 것이 중요하기 때문에 병원 내원이 필요한 상황으로 판단됩니다.  단순 감기 가능성도 있고 이 경우에는 투약 후 점차 호전되실 겁니다.  이후에도  두통과 어지럼증이 지속될 경우 신경과 진료가 도움이 되겠습니다.  감사합니다. "
"496","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000463392","가슴이 왼쪽만 약한 열감이 있어요~","아이둘 출산했구요 자궁선근증으로 미레나 했다가 제거하고임플라논 호르몬 피임중이예요.. 생리를 1년넘게 안하다가 작년 연말부터 2달주기로 하고있는데요 생리전에도 생리후에도 왼쪽가슴 피부가 열감이 좀 느껴져요 생리전에도 왼쪽 가슴이 더 통증이 있는편이구요 지금도 오른쪽은 차가운데 왼쪽은 뜨겁진 않지만 미지근하게 느껴져요 피부가 약간 빨간것 같기도하구요 5년전부터 6-7월이면 (더위가 시작되면) 가슴 양쪽에 열감도 있고 빨개져서 주기적으로 유방외과에서 초음파도 보고 엑스레이도 찍어봤어요~ 작년여름에 초음파/엑스레이결과 이상없었구요 워낙에 오래된 증상인데 더울때 유독 심해져서 병원에 가서 검사하고 물어보니 더위로 인한 피부염? 열이 빠져나가지 못해서 그런것 같다는 얘기만 듣고 다른 이상은 없다고 들었는데요 양쪽가슴 온도차가 나는게 괜찮은건가요? ㅠ","안녕하세요.  하이닥 상담의 김지우입니다. 양쪽 가슴 온도차가 나도 괜찮습니다. 피부염에 피부 마사지가 도움이 됩니다.  37. 7도 이상의 열이 생기면 항생제 드셔야 합니다. 감사합니다. "
"497","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000236284","손이 떨리면서 식은땀이나고 몸에 열이나요","나이 28세 키181 몸무게 92키로 남자 입니다  가끔 손이떨리면서 식음땀이나고 몸에 열이나면서 뭔가 막 음식을 먹지않으면 증세가 멈추지 않습니다","안녕하세요, 하이닥 류마티스내과 상담의 정세진 입니다. 기재해주신 내용으로 보아 고민이 많으셨으리라 생각됩니다. 혈당이 떨어지는 것에 민감하게 반응이 나타나는 것으로 생각됩니다. 정확한 진단을 위해서는 피검사를 시행해 보는 것이 좋을 것으로 생각됩니다. 질문에 답변이 되었기를 바랍니다. 감사합니다. "
"500","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000398648","소아 고열시 대처 방법 문의드립니다.","32개월 남아인데 어제 열이 39.4도 까지 올라가서 밤새 아이와 집사람이 밤새 고생했습니다.1. 인테넷에서 검색해보니 열이 나도 아이가 힘들어 하지 않으면 해열제를 안써도 괜찮다고 하는데 힘들어 하지 않아도 써야되는 체온이 있으면 알려주시기 바랍니다. 2. 밤중에 아이가 자는 중에 집사람이 계속 체온을 체크하면서 열이 39.4도 가되니 자던 아이를 꺠워서 약을 먹였는데 열이 39.4도 라도 아이가 보채는것 없이 자면 그냥 안먹여도 되는지 궁금합니다.3. 해열제를 먹여도 체온이 39도정도에서 내려가지 않아서 자는 아이를 따뜻한 물수건으로 전신을 닦아주었는데 아이가 물이 닿으니 힘들어하고 울고 하는데 체온이 높더라도 잘자면 굳이 몸을 닦아 줄 필요가 없는건지 궁금합니다,4. 아이에게 위험할수 있는 체온을 알려주셨으면 좋겠습니다. 그리고 체온이 어느 정도면 굳이 해열제나 물수건으로 안닦아주고 그냥 재워도 되는지 궁금합니다. 열이나는 상태에서는 옷을 벗기는게 좋은가요? 궁금한것이 많아 두서 없이 적었습니다. 전반적으로 가정에서 소아 고열시 대처할수 있는 방법을 알려주시면 감사하겠습니다.","안녕하세요, 하이닥 응급의학과 상담의 한재병 입니다. 모든 아이에게 적용할 수 있는 가이드라인은 없습니다. 39도가 넘는 발열이라면 가능한 소아과 진료를 권유합니다. 고열이 지속될 경우 추후 다른 문제가 생길 가능성이 더 높습니다. 자가로 해결하시기보다는 소아과 전문의의 상담을 받으시기를 적극 추천합니다. "
